judul,kategori,date,source
"Twitter Mariah Carey Diretas, Unggah Kicauan Rasis pada Eminem",Seleb,"02/01/2020, 18:17 WIB",kompas.com
Rizky Febian Kaget Jenazah Ibunya Cepat Dibawa Pulang dari RS,Seleb,"08/01/2020, 20:40 WIB",kompas.com
Reza Rahadian Kuasai 7 Trik Sulap Berkat Abracadabra,Film,"08/01/2020, 20:31 WIB",kompas.com
Sule dan Rizky Febian Gelar Tahlilan Doakan Lina Jubaedah,Seleb,"08/01/2020, 20:17 WIB",kompas.com
Rizky Febian Jelaskan Alasan Laporkan Kematian Ibu ke Polisi,Seleb,"08/01/2020, 20:14 WIB",kompas.com
"Abracadabra Tayang 9 Januari, Sutradara: Mari Rayakan Kebingungan",Film,"08/01/2020, 20:01 WIB",kompas.com
"Ade Irawan Bacakan Puisi, Irfan Hakim Tak Kuasa Menahan Tangis",Seleb,"08/01/2020, 19:29 WIB",kompas.com
Teddy Ditanyai Polisi soal Meninggalnya Lina Jubaedah Saat Olah TKP Berlangsung,Seleb,"08/01/2020, 18:47 WIB",kompas.com
Irfan Hakim: Gue Yakin Hewan Peliharaan Juga Mendoakan Kita,Seleb,"08/01/2020, 18:46 WIB",kompas.com
"Istri Ricky Harun Hamil Anak Keempat, Ada yang Kaget hingga Melotot",Seleb,"08/01/2020, 18:45 WIB",kompas.com
"Putranya Ditangkap Polisi, Ayu Azhari: Diam Itu Emas",Seleb,"08/01/2020, 18:20 WIB",kompas.com
"Rhoma Irama: Saya 2 Kali Bikin Lagu soal Narkoba, Semoga Jadi Peringatan Buat Ridho",Seleb,"08/01/2020, 18:03 WIB",kompas.com
"Banjir Peminat, Film NKCTHI Tambah Layar di Bioskop, Jadi Dua Kali Lipat",Film,"03/01/2020, 22:56 WIB",kompas.com
"Gelar Konser, Afgan Donasikan Penjualan Tiket untuk Korban Banjir",Musik,"03/01/2020, 22:35 WIB",kompas.com
"Anak Menangis, Anji Dibuat Geram di Bandara",Seleb,"07/01/2020, 20:09 WIB",kompas.com
